ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"157,668",63.8,60.3,246955168,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"23,329",54.6,56.0,42716017,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,636",60.8,67.4,4331978,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","3,831",21.7,24.0,17641117,"Start Year: 2011, End Year: 2011, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
