sex,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,"114,749",79.8,82.4,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,"52,435",35.2,32.9,"Start Year: 2004, End Year: 2004, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
