ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"167,429",66.8,62.3,250476700,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"25,266",57.0,58.0,44290373,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,831",62.8,68.0,4511448,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","4,226",21.8,23.0,19344004,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
