ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"148,397",60.7,57.8,244388833,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"22,794",54.8,56.6,41632450,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,505",60.5,67.1,4141215,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","3,458",20.8,23.3,16609031,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
