sex,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,"128,448",83.2,83.5,"Start Year: 2012, End Year: 2012, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,"61,937",38.8,35.0,"Start Year: 2012, End Year: 2012, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
