ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"151,759",62.5,59.8,242966379,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"23,681",57.7,59.6,41048959,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,426",60.9,67.4,3983929,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","3,360",20.9,23.4,16094699,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
