stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,626",78.3,78.1,4628981,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,506,74.9,80.5,675302,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"5,023",83.3,83.7,6029141,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,174",77.0,76.7,2821761,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"17,758",49.3,49.4,36021202,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"2,975",63.0,64.4,4720423,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,751",49.8,47.0,3517460,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,491,57.1,56.8,859268,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,424,74.3,70.9,570681,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"12,739",70.1,66.7,18166990,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,597",61.1,63.8,9155813,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,666,50.9,48.3,1309731,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,974,66.3,68.1,1468669,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,403",50.6,50.1,12643955,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"3,909",61.7,61.4,6332669,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,632",54.7,50.5,2982644,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,742",63.0,61.4,2762931,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,351",79.4,79.2,4219239,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,580",83.2,83.3,4302665,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,763,57.6,54.2,1323619,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,264",58.0,57.7,5627367,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"2,931",45.7,42.9,6410084,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"5,712",56.9,56.2,10036081,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"2,668",51.7,49.6,5163555,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,574",88.6,89.7,2904978,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,310",73.8,72.2,5842704,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,810,85.0,82.0,952692,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,975,55.0,52.3,1772693,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,849",73.3,74.3,2522658,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
