stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
New Hampshire,646,49.4,48.1,1308389,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"3,698",42.7,41.7,8661679,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"1,836",93.6,95.2,1962137,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"7,800",40.8,39.2,19104631,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"5,946",66.7,66.7,8917270,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,386,59.4,55.4,649422,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"6,927",60.3,58.7,11481213,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"2,864",79.7,79.4,3594090,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,393",65.2,62.2,3670883,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"7,634",61.0,57.9,12510809,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,603,56.7,51.8,1063096,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,270",75.0,75.0,4357847,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,606,77.4,73.4,783033,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,856",79.8,79.3,6088766,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"13,197",56.5,59.0,23359580,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,466",58.0,63.5,2525507,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,401,64.4,60.9,622892,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,058",52.9,53.0,7673725,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"3,811",59.8,58.6,6370753,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,601",87.6,85.2,1827912,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,454",61.9,59.1,5577655,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,435,83.2,82.5,522667,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
