stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,625",74.9,73.3,4840037,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,615,83.5,85.8,736759,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"5,079",75.7,73.0,6706435,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,280",76.9,75.3,2964800,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"18,152",46.9,45.1,38701278,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,883",72.7,72.5,5342311,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"2,140",59.4,53.7,3600188,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,629,67.3,65.8,934805,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,385,58.3,55.9,660797,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"13,673",68.7,61.5,19897747,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"6,002",59.5,60.1,10083850,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,733,51.7,47.1,1417710,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,"1,156",70.9,71.6,1630391,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,983",54.2,52.0,12882438,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"4,462",67.7,66.5,6593182,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"2,045",65.8,58.5,3105563,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,987",68.5,65.4,2899553,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,634",82.4,80.8,4410415,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,654",78.6,77.6,4648797,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,952,71.6,65.0,1328903,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,482",58.3,56.2,5970245,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"3,451",51.1,47.3,6757925,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"6,652",67.1,63.9,9914675,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"3,226",59.2,54.4,5452649,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,477",82.9,82.0,2988578,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,672",77.1,74.2,6058014,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,902,88.4,83.5,1019931,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,"1,116",59.3,56.1,1880920,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,948",68.8,67.2,2831730,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,"1,001",75.3,70.5,1328684,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"4,210",47.1,44.3,8943010,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
