stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,509",73.8,73.2,4757938,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,539,77.1,80.9,698895,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"4,495",70.9,70.4,6343154,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,240",77.3,76.8,2896843,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"17,237",46.6,46.2,36961229,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,378",67.9,68.8,4972195,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,753",49.2,45.6,3561807,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,505,56.6,56.1,891730,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,325,54.9,51.2,592228,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"12,967",69.5,65.2,18652644,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,692",59.2,61.7,9620846,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,692,51.4,48.1,1346717,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
