stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Idaho,"1,035",66.6,68.2,1554439,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,179",48.3,47.6,12796778,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"3,886",60.2,59.5,6459325,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,702",56.1,51.4,3032870,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,827",64.5,62.5,2832704,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,315",76.8,76.2,4317074,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,313",73.8,74.1,4491648,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,837,63.0,57.6,1329590,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,103",54.1,53.0,5730388,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"2,882",44.2,41.0,6517613,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"5,837",59.0,57.4,9901591,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"2,818",53.4,50.5,5281203,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,368",80.0,80.6,2958774,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,311",72.3,70.5,5961088,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,899,91.4,87.9,983982,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,928,51.2,49.0,1812683,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,722",64.1,64.9,2684665,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,682,51.8,49.0,1316102,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"2,781",31.8,30.2,8755602,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"1,886",92.6,93.7,2036802,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"7,427",38.5,36.4,19307066,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"5,977",63.3,62.8,9449566,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,433,65.1,61.0,664968,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"5,861",50.8,49.1,11528896,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"3,174",85.4,85.2,3717572,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,448",64.3,60.6,3808600,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"7,922",62.5,58.1,12666858,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,584,55.4,50.2,1053646,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,236",70.5,69.4,4589872,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,526,65.2,63.4,807067,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,801",76.1,75.1,6306019,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"13,909",56.1,58.8,24801761,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,612",59.2,66.7,2723421,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,415,66.4,59.4,624817,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,051",51.1,50.7,7925937,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"3,952",59.3,57.7,6667426,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,331",72.0,68.7,1847775,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,422",60.4,56.7,5669264,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,430,76.8,78.1,559851,"Start Year: 2009, End Year: 2009, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
