stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Alabama,"3,683",78.1,77.3,4718206,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Alaska,576,83.8,89.3,687455,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arizona,"4,522",72.0,72.3,6280362,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Arkansas,"2,265",78.8,78.3,2874554,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
California,"17,213",47.0,46.8,36604337,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Colorado,"3,306",67.6,68.9,4889730,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Connecticut,"1,858",52.4,48.7,3545579,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Delaware,541,61.2,60.7,883874,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
District of Columbia,389,67.0,63.9,580236,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Florida,"13,182",71.1,67.5,18527305,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Georgia,"5,574",58.6,61.0,9504843,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Hawaii,618,46.4,43.7,1332213,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Idaho,965,62.9,64.2,1534320,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Illinois,"6,443",50.5,49.8,12747038,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Indiana,"3,958",61.6,61.4,6424806,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Iowa,"1,774",58.8,54.7,3016734,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kansas,"1,657",59.0,57.1,2808076,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Kentucky,"3,325",77.5,77.2,4289878,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Louisiana,"3,578",80.7,81.1,4435586,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maine,856,64.3,59.7,1330509,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Maryland,"3,184",56.0,55.1,5684965,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Massachusetts,"2,804",43.3,40.2,6468967,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Michigan,"5,798",58.3,56.9,9946889,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Minnesota,"2,838",54.1,51.5,5247018,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Mississippi,"2,508",85.1,85.6,2947806,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Missouri,"4,342",73.3,71.6,5923916,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Montana,857,87.8,86.0,976415,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nebraska,992,55.2,52.3,1796378,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Nevada,"1,868",70.4,71.3,2653630,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Hampshire,702,53.3,51.2,1315906,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Jersey,"3,483",40.0,38.5,8711090,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New Mexico,"1,996",99.3,101.0,2010662,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"7,610",39.6,37.8,19212436,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"6,220",66.8,66.6,9309449,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,439,66.8,61.7,657569,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
