stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
Ohio,"7,234",62.8,60.9,11515391,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"2,978",81.2,80.7,3668976,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,431",64.5,61.1,3768748,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"8,202",65.0,60.9,12612285,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,629,59.6,54.0,1055003,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,262",72.0,71.4,4528996,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,540,67.6,63.6,799124,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"4,864",77.9,76.9,6247411,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"13,414",55.2,57.9,24309039,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,556",58.4,65.0,2663029,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,426,68.3,62.7,624151,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,219",53.9,53.6,7833496,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"3,957",60.3,58.8,6562231,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,640",89.1,86.3,1840310,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"3,453",61.2,57.6,5640996,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,497,91.0,90.6,546043,"Start Year: 2008, End Year: 2008, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
