sex,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,"129,912",83.5,83.4,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,"63,033",39.2,35.2,"Start Year: 2013, End Year: 2013, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
