ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"147,398",61.5,59.3,239805271,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"25,738",64.6,67.0,39857107,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,457",66.6,72.7,3687683,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","3,472",23.1,26.0,15029851,"Start Year: 2006, End Year: 2006, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
