year,geo_name,geo,total_reimbursements_b
2013,"Burleson County","05000US48051",9889.0
2010,"Burnet County","05000US48053",10033.0
2014,"Burnet County","05000US48053",9601.0
2012,"Burnet County","05000US48053",9869.0
2013,"Burnet County","05000US48053",9513.0
2011,"Burnet County","05000US48053",10345.0
2014,"Caldwell County","05000US48055",11709.0
2011,"Caldwell County","05000US48055",11770.0
2012,"Caldwell County","05000US48055",12859.0
2010,"Caldwell County","05000US48055",11721.0
2013,"Caldwell County","05000US48055",11515.0
2010,"Calhoun County","05000US48057",10876.0
2011,"Calhoun County","05000US48057",11669.0
2013,"Calhoun County","05000US48057",10524.0
2014,"Calhoun County","05000US48057",11674.0
2012,"Calhoun County","05000US48057",10874.0
2010,"Callahan County","05000US48059",9235.0
2012,"Callahan County","05000US48059",10461.0
2011,"Callahan County","05000US48059",9594.0
2014,"Callahan County","05000US48059",10380.0
2013,"Callahan County","05000US48059",9997.0
2012,"Cameron County, TX","05000US48061",11895.0
2010,"Cameron County, TX","05000US48061",12610.0
2014,"Cameron County, TX","05000US48061",11863.0
2011,"Cameron County, TX","05000US48061",11822.0
2013,"Cameron County, TX","05000US48061",11927.0
2011,"Camp County","05000US48063",11493.0
2014,"Camp County","05000US48063",11833.0
2012,"Camp County","05000US48063",11087.0
2010,"Camp County","05000US48063",11036.0
2013,"Camp County","05000US48063",11352.0
2013,"Carson County","05000US48065",9610.0
2011,"Carson County","05000US48065",9515.0
2010,"Carson County","05000US48065",9547.0
2012,"Carson County","05000US48065",9964.0
2014,"Carson County","05000US48065",11276.0
2012,"Cass County","05000US48067",10884.0
2010,"Cass County","05000US48067",10784.0
2013,"Cass County","05000US48067",10720.0
2011,"Cass County","05000US48067",10191.0
2014,"Cass County","05000US48067",11198.0
2012,"Castro County","05000US48069",11690.0
2010,"Castro County","05000US48069",11245.0
2014,"Castro County","05000US48069",11662.0
2011,"Castro County","05000US48069",10949.0
2013,"Castro County","05000US48069",9291.0
2012,"Chambers County","05000US48071",12036.0
2010,"Chambers County","05000US48071",12713.0
2014,"Chambers County","05000US48071",11541.0
2013,"Chambers County","05000US48071",11527.0
2011,"Chambers County","05000US48071",12615.0
2010,"Cherokee County","05000US48073",11202.0
2011,"Cherokee County","05000US48073",11358.0
2014,"Cherokee County","05000US48073",11579.0
2013,"Cherokee County","05000US48073",10944.0
2012,"Cherokee County","05000US48073",11558.0
2011,"Childress County","05000US48075",9578.0
2013,"Childress County","05000US48075",8148.0
2014,"Childress County","05000US48075",9630.0
2012,"Childress County","05000US48075",9039.0
2010,"Childress County","05000US48075",9683.0
2014,"Clay County","05000US48077",10549.0
2011,"Clay County","05000US48077",10892.0
2013,"Clay County","05000US48077",10637.0
2012,"Clay County","05000US48077",10714.0
2010,"Clay County","05000US48077",10333.0
2010,"Cochran County","05000US48079",12291.0
2013,"Cochran County","05000US48079",10842.0
2014,"Cochran County","05000US48079",11570.0
2011,"Cochran County","05000US48079",9605.0
2012,"Cochran County","05000US48079",10370.0
2013,"Coke County","05000US48081",9121.0
2011,"Coke County","05000US48081",9139.0
2010,"Coke County","05000US48081",9989.0
2012,"Coke County","05000US48081",8717.0
2014,"Coke County","05000US48081",9000.0
2013,"Coleman County","05000US48083",9796.0
2010,"Coleman County","05000US48083",9279.0
2012,"Coleman County","05000US48083",9606.0
2014,"Coleman County","05000US48083",9945.0
2011,"Coleman County","05000US48083",9811.0
2013,"Collin County, TX","05000US48085",11305.0
2010,"Collin County, TX","05000US48085",11674.0
2012,"Collin County, TX","05000US48085",11642.0
2011,"Collin County, TX","05000US48085",11603.0
2014,"Collin County, TX","05000US48085",11176.0
2012,"Collingsworth County","05000US48087",15638.0
2010,"Collingsworth County","05000US48087",14983.0
2013,"Collingsworth County","05000US48087",13192.0
2011,"Collingsworth County","05000US48087",15688.0
2014,"Collingsworth County","05000US48087",12597.0
2010,"Colorado County","05000US48089",10548.0
2011,"Colorado County","05000US48089",12089.0
2014,"Colorado County","05000US48089",11012.0
2013,"Colorado County","05000US48089",10806.0
2012,"Colorado County","05000US48089",10860.0
2011,"Comal County, TX","05000US48091",9953.0
2012,"Comal County, TX","05000US48091",10299.0
2010,"Comal County, TX","05000US48091",9553.0
2013,"Comal County, TX","05000US48091",10080.0
2014,"Comal County, TX","05000US48091",9597.0
2012,"Comanche County","05000US48093",9970.0
2011,"Comanche County","05000US48093",10064.0
2013,"Comanche County","05000US48093",10283.0
2014,"Comanche County","05000US48093",10090.0
2010,"Comanche County","05000US48093",10456.0
2011,"Concho County","05000US48095",9231.0
2014,"Concho County","05000US48095",10767.0
2012,"Concho County","05000US48095",9577.0
2010,"Concho County","05000US48095",8583.0
2013,"Concho County","05000US48095",10953.0
2012,"Cooke County","05000US48097",12330.0
2013,"Cooke County","05000US48097",12203.0
2010,"Cooke County","05000US48097",11515.0
2014,"Cooke County","05000US48097",11645.0
2011,"Cooke County","05000US48097",11970.0
2013,"Coryell County","05000US48099",9745.0
2011,"Coryell County","05000US48099",10368.0
2014,"Coryell County","05000US48099",10192.0
2010,"Coryell County","05000US48099",9661.0
2012,"Coryell County","05000US48099",9509.0
2012,"Cottle County","05000US48101",9304.0
2013,"Cottle County","05000US48101",9729.0
2010,"Cottle County","05000US48101",6708.0
2011,"Cottle County","05000US48101",7011.0
2014,"Cottle County","05000US48101",8122.0
2010,"Crane County","05000US48103",10912.0
2014,"Crane County","05000US48103",12741.0
2013,"Crane County","05000US48103",13003.0
2011,"Crane County","05000US48103",11067.0
2012,"Crane County","05000US48103",11272.0
2012,"Crockett County","05000US48105",8894.0
2013,"Crockett County","05000US48105",8008.0
2014,"Crockett County","05000US48105",8303.0
2010,"Crockett County","05000US48105",9900.0
2011,"Crockett County","05000US48105",8744.0
2014,"Crosby County","05000US48107",12466.0
2010,"Crosby County","05000US48107",11361.0
2011,"Crosby County","05000US48107",11856.0
2013,"Crosby County","05000US48107",10411.0
2012,"Crosby County","05000US48107",11088.0
2010,"Culberson County","05000US48109",11512.0
2012,"Culberson County","05000US48109",11123.0
2014,"Culberson County","05000US48109",11633.0
2013,"Culberson County","05000US48109",13094.0
2011,"Culberson County","05000US48109",10612.0
2013,"Dallam County","05000US48111",10576.0
2014,"Dallam County","05000US48111",10437.0
2011,"Dallam County","05000US48111",10114.0
2010,"Dallam County","05000US48111",8850.0
2012,"Dallam County","05000US48111",10814.0
2013,"Dallas County, TX","05000US48113",11048.0
2012,"Dallas County, TX","05000US48113",11203.0
2014,"Dallas County, TX","05000US48113",11078.0
2011,"Dallas County, TX","05000US48113",11282.0
2010,"Dallas County, TX","05000US48113",11247.0
2012,"Dawson County","05000US48115",10369.0
2010,"Dawson County","05000US48115",10820.0
