State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
Mississippi,28,15-24 years,15-24,Female,F,116,4114580,2.8
Mississippi,28,15-24 years,15-24,Male,M,796,4219226,18.9
Mississippi,28,25-34 years,25-34,Female,F,226,3704360,6.1
Mississippi,28,25-34 years,25-34,Male,M,960,3573798,26.9
Mississippi,28,35-44 years,35-44,Female,F,310,3795810,8.2
Mississippi,28,35-44 years,35-44,Male,M,1040,3594195,28.9
Mississippi,28,45-54 years,45-54,Female,F,307,3851539,8
Mississippi,28,45-54 years,45-54,Male,M,1037,3621054,28.6
Mississippi,28,55-64 years,55-64,Female,F,225,3194568,7
Mississippi,28,55-64 years,55-64,Male,M,785,2916695,26.9
Mississippi,28,65-74 years,65-74,Female,F,116,2225680,5.2
Mississippi,28,65-74 years,65-74,Male,M,505,1859332,27.2
Mississippi,28,75-84 years,75-84,Female,F,35,1412122,2.5
Mississippi,28,75-84 years,75-84,Male,M,378,921214,41
Mississippi,28,85+ years,85+,Female,F,11,600654,Unreliable
Mississippi,28,85+ years,85+,Male,M,131,249098,52.6
Missouri,29,5-14 years,5-14,Female,F,44,7329453,0.6
Missouri,29,5-14 years,5-14,Male,M,102,7677272,1.3
Missouri,29,15-24 years,15-24,Female,F,359,7702372,4.7
Missouri,29,15-24 years,15-24,Male,M,1717,7958586,21.6
Missouri,29,25-34 years,25-34,Female,F,462,7272703,6.4
Missouri,29,25-34 years,25-34,Male,M,2100,7244761,29
Missouri,29,35-44 years,35-44,Female,F,708,7571790,9.4
Missouri,29,35-44 years,35-44,Male,M,2440,7470506,32.7
Missouri,29,45-54 years,45-54,Female,F,827,7952508,10.4
Missouri,29,45-54 years,45-54,Male,M,2558,7687860,33.3
Missouri,29,55-64 years,55-64,Female,F,511,6640160,7.7
Missouri,29,55-64 years,55-64,Male,M,1701,6158618,27.6
Missouri,29,65-74 years,65-74,Female,F,210,4595157,4.6
Missouri,29,65-74 years,65-74,Male,M,1047,3961426,26.4
Missouri,29,75-84 years,75-84,Female,F,119,3074270,3.9
Missouri,29,75-84 years,75-84,Male,M,853,2163529,39.4
Missouri,29,85+ years,85+,Female,F,49,1462155,3.4
Missouri,29,85+ years,85+,Male,M,363,651929,55.7
Montana,30,5-14 years,5-14,Female,F,18,1156644,Unreliable
Montana,30,5-14 years,5-14,Male,M,40,1218810,3.3
Montana,30,15-24 years,15-24,Female,F,99,1243662,8
Montana,30,15-24 years,15-24,Male,M,457,1353488,33.8
Montana,30,25-34 years,25-34,Female,F,118,1074639,11
Montana,30,25-34 years,25-34,Male,M,555,1130791,49.1
Montana,30,35-44 years,35-44,Female,F,177,1161616,15.2
Montana,30,35-44 years,35-44,Male,M,518,1171731,44.2
Montana,30,45-54 years,45-54,Female,F,161,1346891,12
Montana,30,45-54 years,45-54,Male,M,575,1338837,42.9
Montana,30,55-64 years,55-64,Female,F,151,1175326,12.8
Montana,30,55-64 years,55-64,Male,M,495,1179787,42
Montana,30,65-74 years,65-74,Female,F,55,769621,7.1
Montana,30,65-74 years,65-74,Male,M,278,753108,36.9
Montana,30,75-84 years,75-84,Female,F,19,487494,Unreliable
Montana,30,75-84 years,75-84,Male,M,222,395385,56.1
Montana,30,85+ years,85+,Male,M,132,126067,104.7
Nebraska,31,5-14 years,5-14,Female,F,16,2345575,Unreliable
Nebraska,31,5-14 years,5-14,Male,M,34,2455148,1.4
Nebraska,31,15-24 years,15-24,Female,F,100,2437679,4.1
Nebraska,31,15-24 years,15-24,Male,M,537,2560783,21
Nebraska,31,25-34 years,25-34,Female,F,100,2195269,4.6
Nebraska,31,25-34 years,25-34,Male,M,528,2294019,23
Nebraska,31,35-44 years,35-44,Female,F,146,2219607,6.6
Nebraska,31,35-44 years,35-44,Male,M,555,2268886,24.5
Nebraska,31,45-54 years,45-54,Female,F,171,2319226,7.4
Nebraska,31,45-54 years,45-54,Male,M,586,2319786,25.3
Nebraska,31,55-64 years,55-64,Female,F,109,1882016,5.8
Nebraska,31,55-64 years,55-64,Male,M,410,1831197,22.4
Nebraska,31,65-74 years,65-74,Female,F,37,1279157,2.9
Nebraska,31,65-74 years,65-74,Male,M,209,1132571,18.5
Nebraska,31,75-84 years,75-84,Female,F,25,929969,2.7
Nebraska,31,75-84 years,75-84,Male,M,208,669056,31.1
Nebraska,31,85+ years,85+,Male,M,80,229976,34.8
Nevada,32,5-14 years,5-14,Female,F,33,3209561,1
Nevada,32,5-14 years,5-14,Male,M,47,3366160,1.4
Nevada,32,15-24 years,15-24,Female,F,186,3043273,6.1
Nevada,32,15-24 years,15-24,Male,M,731,3240958,22.6
Nevada,32,25-34 years,25-34,Female,F,289,3429815,8.4
Nevada,32,25-34 years,25-34,Male,M,1085,3625337,29.9
Nevada,32,35-44 years,35-44,Female,F,412,3396805,12.1
Nevada,32,35-44 years,35-44,Male,M,1224,3605533,33.9
Nevada,32,45-54 years,45-54,Female,F,526,3255177,16.2
Nevada,32,45-54 years,45-54,Male,M,1451,3349432,43.3
Nevada,32,55-64 years,55-64,Female,F,379,2776616,13.6
Nevada,32,55-64 years,55-64,Male,M,1197,2705913,44.2
Nevada,32,65-74 years,65-74,Female,F,189,1866549,10.1
Nevada,32,65-74 years,65-74,Male,M,788,1798814,43.8
Nevada,32,75-84 years,75-84,Female,F,103,973483,10.6
Nevada,32,75-84 years,75-84,Male,M,603,836678,72.1
Nevada,32,85+ years,85+,Female,F,29,340454,8.5
Nevada,32,85+ years,85+,Male,M,204,197881,103.1
New Hampshire,33,5-14 years,5-14,Male,M,20,1612714,1.2
New Hampshire,33,15-24 years,15-24,Female,F,69,1624824,4.2
New Hampshire,33,15-24 years,15-24,Male,M,334,1681586,19.9
New Hampshire,33,25-34 years,25-34,Female,F,106,1434825,7.4
New Hampshire,33,25-34 years,25-34,Male,M,386,1449220,26.6
New Hampshire,33,35-44 years,35-44,Female,F,158,1814698,8.7
New Hampshire,33,35-44 years,35-44,Male,M,481,1783810,27
New Hampshire,33,45-54 years,45-54,Female,F,192,1990887,9.6
New Hampshire,33,45-54 years,45-54,Male,M,614,1962972,31.3
New Hampshire,33,55-64 years,55-64,Female,F,120,1562114,7.7
New Hampshire,33,55-64 years,55-64,Male,M,423,1526712,27.7
New Hampshire,33,65-74 years,65-74,Female,F,63,971132,6.5
New Hampshire,33,65-74 years,65-74,Male,M,201,893678,22.5
New Hampshire,33,75-84 years,75-84,Female,F,27,619197,4.4
New Hampshire,33,75-84 years,75-84,Male,M,146,454602,32.1
New Hampshire,33,85+ years,85+,Male,M,79,142343,55.5
New Jersey,34,5-14 years,5-14,Female,F,28,10764294,0.3
New Jersey,34,5-14 years,5-14,Male,M,45,11265924,0.4
New Jersey,34,15-24 years,15-24,Female,F,288,10164283,2.8
New Jersey,34,15-24 years,15-24,Male,M,1118,10787377,10.4
New Jersey,34,25-34 years,25-34,Female,F,365,10783508,3.4
New Jersey,34,25-34 years,25-34,Male,M,1395,10822421,12.9
New Jersey,34,35-44 years,35-44,Female,F,502,12504441,4
New Jersey,34,35-44 years,35-44,Male,M,1781,12119527,14.7
New Jersey,34,45-54 years,45-54,Female,F,620,12610851,4.9
New Jersey,34,45-54 years,45-54,Male,M,2101,11973471,17.5
New Jersey,34,55-64 years,55-64,Female,F,428,9813224,4.4
New Jersey,34,55-64 years,55-64,Male,M,1493,8958645,16.7
New Jersey,34,65-74 years,65-74,Female,F,199,6545448,3
New Jersey,34,65-74 years,65-74,Male,M,755,5393861,14
New Jersey,34,75-84 years,75-84,Female,F,136,4580546,3
New Jersey,34,75-84 years,75-84,Male,M,619,3059609,20.2
New Jersey,34,85+ years,85+,Female,F,53,2203383,2.4
New Jersey,34,85+ years,85+,Male,M,282,997084,28.3
New Mexico,35,5-14 years,5-14,Female,F,26,2619332,1
New Mexico,35,5-14 years,5-14,Male,M,66,2713803,2.4
New Mexico,35,15-24 years,15-24,Female,F,210,2644025,7.9
New Mexico,35,15-24 years,15-24,Male,M,990,2806745,35.3
New Mexico,35,25-34 years,25-34,Female,F,222,2402718,9.2
New Mexico,35,25-34 years,25-34,Male,M,1057,2478451,42.6
New Mexico,35,35-44 years,35-44,Female,F,312,2463844,12.7
New Mexico,35,35-44 years,35-44,Male,M,1001,2424857,41.3
New Mexico,35,45-54 years,45-54,Female,F,401,2616183,15.3
New Mexico,35,45-54 years,45-54,Male,M,1016,2501139,40.6
New Mexico,35,55-64 years,55-64,Female,F,271,2248925,12.1
New Mexico,35,55-64 years,55-64,Male,M,728,2081008,35
New Mexico,35,65-74 years,65-74,Female,F,122,1518469,8
New Mexico,35,65-74 years,65-74,Male,M,501,1363237,36.8
New Mexico,35,75-84 years,75-84,Female,F,49,901158,5.4
New Mexico,35,75-84 years,75-84,Male,M,378,708620,53.3
New Mexico,35,85+ years,85+,Female,F,23,374699,6.1
New Mexico,35,85+ years,85+,Male,M,165,206602,79.9
New York,36,5-14 years,5-14,Female,F,75,22785345,0.3
New York,36,5-14 years,5-14,Male,M,132,23837594,0.6
New York,36,15-24 years,15-24,Female,F,678,24976659,2.7
New York,36,15-24 years,15-24,Male,M,2664,25766430,10.3
New York,36,25-34 years,25-34,Female,F,870,26143878,3.3
New York,36,25-34 years,25-34,Male,M,3271,25517923,12.8
New York,36,35-44 years,35-44,Female,F,1029,26652406,3.9
New York,36,35-44 years,35-44,Male,M,3873,25663678,15.1
New York,36,45-54 years,45-54,Female,F,1361,26875826,5.1
New York,36,45-54 years,45-54,Male,M,4443,25260972,17.6
New York,36,55-64 years,55-64,Female,F,989,21712680,4.6
New York,36,55-64 years,55-64,Male,M,3216,19465711,16.5
New York,36,65-74 years,65-74,Female,F,495,14627788,3.4
New York,36,65-74 years,65-74,Male,M,1797,11916331,15.1
New York,36,75-84 years,75-84,Female,F,317,10018056,3.2
New York,36,75-84 years,75-84,Male,M,1281,6683383,19.2
New York,36,85+ years,85+,Female,F,148,4913841,3
New York,36,85+ years,85+,Male,M,523,2208336,23.7
North Carolina,37,5-14 years,5-14,Female,F,44,11320612,0.4
North Carolina,37,5-14 years,5-14,Male,M,139,11834727,1.2
North Carolina,37,15-24 years,15-24,Female,F,436,11673983,3.7
North Carolina,37,15-24 years,15-24,Male,M,2155,12393694,17.4
North Carolina,37,25-34 years,25-34,Female,F,675,11876711,5.7
North Carolina,37,25-34 years,25-34,Male,M,2689,11752319,22.9
North Carolina,37,35-44 years,35-44,Female,F,1102,12610455,8.7
North Carolina,37,35-44 years,35-44,Male,M,3092,12240848,25.3
North Carolina,37,45-54 years,45-54,Female,F,1311,12490467,10.5
North Carolina,37,45-54 years,45-54,Male,M,3260,11830109,27.6
North Carolina,37,55-64 years,55-64,Female,F,878,10367235,8.5
North Carolina,37,55-64 years,55-64,Male,M,2401,9386375,25.6
North Carolina,37,65-74 years,65-74,Female,F,383,7124666,5.4
North Carolina,37,65-74 years,65-74,Male,M,1629,5999196,27.2
North Carolina,37,75-84 years,75-84,Female,F,166,4366801,3.8
North Carolina,37,75-84 years,75-84,Male,M,1083,2947545,36.7
North Carolina,37,85+ years,85+,Female,F,62,1856768,3.3
North Carolina,37,85+ years,85+,Male,M,407,788861,51.6
North Dakota,38,5-14 years,5-14,Male,M,10,836603,Unreliable
North Dakota,38,15-24 years,15-24,Female,F,56,996479,5.6
North Dakota,38,15-24 years,15-24,Male,M,348,1119021,31.1
North Dakota,38,25-34 years,25-34,Female,F,66,790693,8.3
North Dakota,38,25-34 years,25-34,Male,M,306,895100,34.2
North Dakota,38,35-44 years,35-44,Female,F,58,776828,7.5
North Dakota,38,35-44 years,35-44,Male,M,262,822659,31.8
North Dakota,38,45-54 years,45-54,Female,F,68,855266,8
North Dakota,38,45-54 years,45-54,Male,M,282,889051,31.7
North Dakota,38,55-64 years,55-64,Female,F,37,698882,5.3
North Dakota,38,55-64 years,55-64,Male,M,198,721672,27.4
North Dakota,38,65-74 years,65-74,Female,F,13,481367,Unreliable
North Dakota,38,65-74 years,65-74,Male,M,84,442115,19
North Dakota,38,75-84 years,75-84,Female,F,10,368012,Unreliable
North Dakota,38,75-84 years,75-84,Male,M,76,272322,27.9
North Dakota,38,85+ years,85+,Male,M,30,101266,29.6
Ohio,39,5-14 years,5-14,Female,F,71,14368781,0.5
Ohio,39,5-14 years,5-14,Male,M,192,15029983,1.3
Ohio,39,15-24 years,15-24,Female,F,576,14731059,3.9
Ohio,39,15-24 years,15-24,Male,M,2731,15185267,18
Ohio,39,25-34 years,25-34,Female,F,717,13886935,5.2
Ohio,39,25-34 years,25-34,Male,M,3483,13818162,25.2
Ohio,39,35-44 years,35-44,Female,F,1098,15016265,7.3
Ohio,39,35-44 years,35-44,Male,M,3779,14738494,25.6
Ohio,39,45-54 years,45-54,Female,F,1290,16000596,8.1
Ohio,39,45-54 years,45-54,Male,M,4108,15456421,26.6
Ohio,39,55-64 years,55-64,Female,F,851,13181836,6.5
Ohio,39,55-64 years,55-64,Male,M,2936,12294408,23.9
Ohio,39,65-74 years,65-74,Female,F,370,8962774,4.1
Ohio,39,65-74 years,65-74,Male,M,1710,7578907,22.6
Ohio,39,75-84 years,75-84,Female,F,174,6207988,2.8
Ohio,39,75-84 years,75-84,Male,M,1441,4226530,34.1
Ohio,39,85+ years,85+,Female,F,71,2849732,2.5
Ohio,39,85+ years,85+,Male,M,561,1276581,43.9
Oklahoma,40,5-14 years,5-14,Female,F,27,4707003,0.6
Oklahoma,40,5-14 years,5-14,Male,M,90,4939904,1.8
Oklahoma,40,15-24 years,15-24,Female,F,277,4926455,5.6
Oklahoma,40,15-24 years,15-24,Male,M,1286,5257597,24.5
Oklahoma,40,25-34 years,25-34,Female,F,392,4576096,8.6
Oklahoma,40,25-34 years,25-34,Male,M,1658,4729399,35.1
Oklahoma,40,35-44 years,35-44,Female,F,492,4564983,10.8
Oklahoma,40,35-44 years,35-44,Male,M,1711,4595607,37.2
Oklahoma,40,45-54 years,45-54,Female,F,595,4735120,12.6
Oklahoma,40,45-54 years,45-54,Male,M,1653,4629285,35.7
Oklahoma,40,55-64 years,55-64,Female,F,352,4032584,8.7
Oklahoma,40,55-64 years,55-64,Male,M,1181,3770513,31.3
Oklahoma,40,65-74 years,65-74,Female,F,144,2840660,5.1
Oklahoma,40,65-74 years,65-74,Male,M,729,2459244,29.6
Oklahoma,40,75-84 years,75-84,Female,F,73,1821314,4
Oklahoma,40,75-84 years,75-84,Male,M,560,1312570,42.7
Oklahoma,40,85+ years,85+,Female,F,23,791921,2.9
Oklahoma,40,85+ years,85+,Male,M,199,374806,53.1
Oregon,41,5-14 years,5-14,Female,F,32,4434964,0.7
Oregon,41,5-14 years,5-14,Male,M,50,4647375,1.1
Oregon,41,15-24 years,15-24,Female,F,235,4673086,5
Oregon,41,15-24 years,15-24,Male,M,1069,4882514,21.9
Oregon,41,25-34 years,25-34,Female,F,302,4780434,6.3
Oregon,41,25-34 years,25-34,Male,M,1353,4955430,27.3
Oregon,41,35-44 years,35-44,Female,F,528,4831344,10.9
Oregon,41,35-44 years,35-44,Male,M,1573,4926615,31.9
Oregon,41,45-54 years,45-54,Female,F,727,5074137,14.3
Oregon,41,45-54 years,45-54,Male,M,1834,4971828,36.9
Oregon,41,55-64 years,55-64,Female,F,435,4407562,9.9
Oregon,41,55-64 years,55-64,Male,M,1429,4181814,34.2
Oregon,41,65-74 years,65-74,Female,F,206,2889614,7.1
Oregon,41,65-74 years,65-74,Male,M,888,2621053,33.9
Oregon,41,75-84 years,75-84,Female,F,125,1837317,6.8
Oregon,41,75-84 years,75-84,Male,M,754,1399281,53.9
Oregon,41,85+ years,85+,Female,F,53,906561,5.8
Oregon,41,85+ years,85+,Male,M,372,470860,79
Pennsylvania,42,5-14 years,5-14,Female,F,73,14618606,0.5
Pennsylvania,42,5-14 years,5-14,Male,M,167,15328366,1.1
Pennsylvania,42,15-24 years,15-24,Female,F,609,15911250,3.8
Pennsylvania,42,15-24 years,15-24,Male,M,2912,16447296,17.7
Pennsylvania,42,25-34 years,25-34,Female,F,781,14654596,5.3
Pennsylvania,42,25-34 years,25-34,Male,M,3534,14755248,24
Pennsylvania,42,35-44 years,35-44,Female,F,1192,16273987,7.3
Pennsylvania,42,35-44 years,35-44,Male,M,4290,15985560,26.8
Pennsylvania,42,45-54 years,45-54,Female,F,1539,17677678,8.7
Pennsylvania,42,45-54 years,45-54,Male,M,5102,17139322,29.8
Pennsylvania,42,55-64 years,55-64,Female,F,1004,14740709,6.8
Pennsylvania,42,55-64 years,55-64,Male,M,3625,13793115,26.3
Pennsylvania,42,65-74 years,65-74,Female,F,390,10469192,3.7
Pennsylvania,42,65-74 years,65-74,Male,M,2022,8827260,22.9
Pennsylvania,42,75-84 years,75-84,Female,F,224,7825090,2.9
Pennsylvania,42,75-84 years,75-84,Male,M,1672,5280889,31.7
Pennsylvania,42,85+ years,85+,Female,F,85,3801772,2.2
Pennsylvania,42,85+ years,85+,Male,M,635,1687720,37.6
Rhode Island,44,15-24 years,15-24,Female,F,38,1480571,2.6
Rhode Island,44,15-24 years,15-24,Male,M,172,1495264,11.5
Rhode Island,44,25-34 years,25-34,Female,F,53,1287596,4.1
Rhode Island,44,25-34 years,25-34,Male,M,228,1273051,17.9
Rhode Island,44,35-44 years,35-44,Female,F,91,1419998,6.4
Rhode Island,44,35-44 years,35-44,Male,M,315,1362163,23.1
Rhode Island,44,45-54 years,45-54,Female,F,122,1504236,8.1
Rhode Island,44,45-54 years,45-54,Male,M,368,1414496,26
Rhode Island,44,55-64 years,55-64,Female,F,73,1196297,6.1
Rhode Island,44,55-64 years,55-64,Male,M,240,1105131,21.7
Rhode Island,44,65-74 years,65-74,Female,F,28,800115,3.5
Rhode Island,44,65-74 years,65-74,Male,M,90,670923,13.4
Rhode Island,44,75-84 years,75-84,Female,F,15,614268,Unreliable
Rhode Island,44,75-84 years,75-84,Male,M,64,403700,15.9
Rhode Island,44,85+ years,85+,Male,M,33,141568,23.3
South Carolina,45,5-14 years,5-14,Female,F,30,5499849,0.5
South Carolina,45,5-14 years,5-14,Male,M,69,5721205,1.2
South Carolina,45,15-24 years,15-24,Female,F,192,5892751,3.3
South Carolina,45,15-24 years,15-24,Male,M,1142,6162199,18.5
South Carolina,45,25-34 years,25-34,Female,F,341,5647128,6
South Carolina,45,25-34 years,25-34,Male,M,1415,5556863,25.5
South Carolina,45,35-44 years,35-44,Female,F,470,5894104,8
South Carolina,45,35-44 years,35-44,Male,M,1552,5666049,27.4
South Carolina,45,45-54 years,45-54,Female,F,681,6116695,11.1
South Carolina,45,45-54 years,45-54,Male,M,1675,5708373,29.3
South Carolina,45,55-64 years,55-64,Female,F,491,5324086,9.2
South Carolina,45,55-64 years,55-64,Male,M,1338,4773581,28
South Carolina,45,65-74 years,65-74,Female,F,202,3719156,5.4
South Carolina,45,65-74 years,65-74,Male,M,823,3192929,25.8
South Carolina,45,75-84 years,75-84,Female,F,88,2154523,4.1
South Carolina,45,75-84 years,75-84,Male,M,565,1501877,37.6
South Carolina,45,85+ years,85+,Female,F,24,881350,2.7
South Carolina,45,85+ years,85+,Male,M,171,379058,45.1
South Dakota,46,5-14 years,5-14,Female,F,24,1033904,2.3
South Dakota,46,5-14 years,5-14,Male,M,34,1090752,3.1
South Dakota,46,15-24 years,15-24,Female,F,104,1079509,9.6
South Dakota,46,15-24 years,15-24,Male,M,437,1155117,37.8
South Dakota,46,25-34 years,25-34,Female,F,72,925307,7.8
South Dakota,46,25-34 years,25-34,Male,M,346,985294,35.1
South Dakota,46,35-44 years,35-44,Female,F,85,944471,9
South Dakota,46,35-44 years,35-44,Male,M,317,978326,32.4
South Dakota,46,45-54 years,45-54,Female,F,91,1020647,8.9
South Dakota,46,45-54 years,45-54,Male,M,351,1044003,33.6
South Dakota,46,55-64 years,55-64,Female,F,50,851578,5.9
South Dakota,46,55-64 years,55-64,Male,M,221,857288,25.8
South Dakota,46,65-74 years,65-74,Female,F,19,587373,Unreliable
South Dakota,46,65-74 years,65-74,Male,M,134,541762,24.7
South Dakota,46,75-84 years,75-84,Female,F,13,431053,Unreliable
South Dakota,46,75-84 years,75-84,Male,M,91,324522,28
South Dakota,46,85+ years,85+,Male,M,38,113151,33.6
Tennessee,47,5-14 years,5-14,Female,F,28,7595664,0.4
Tennessee,47,5-14 years,5-14,Male,M,75,7958828,0.9
Tennessee,47,15-24 years,15-24,Female,F,293,7893021,3.7
Tennessee,47,15-24 years,15-24,Male,M,1583,8124552,19.5
Tennessee,47,25-34 years,25-34,Female,F,547,7936610,6.9
Tennessee,47,25-34 years,25-34,Male,M,2212,7845327,28.2
Tennessee,47,35-44 years,35-44,Female,F,796,8335503,9.5
Tennessee,47,35-44 years,35-44,Male,M,2571,8114500,31.7
Tennessee,47,45-54 years,45-54,Female,F,967,8520495,11.3
Tennessee,47,45-54 years,45-54,Male,M,2612,8096785,32.3
Tennessee,47,55-64 years,55-64,Female,F,642,7146853,9
Tennessee,47,55-64 years,55-64,Male,M,1985,6576931,30.2
Tennessee,47,65-74 years,65-74,Female,F,251,4903589,5.1
Tennessee,47,65-74 years,65-74,Male,M,1325,4206179,31.5
Tennessee,47,75-84 years,75-84,Female,F,98,3018814,3.2
Tennessee,47,75-84 years,75-84,Male,M,887,2041026,43.5
Tennessee,47,85+ years,85+,Female,F,41,1281928,3.2
Tennessee,47,85+ years,85+,Male,M,299,546717,54.7
Texas,48,5-14 years,5-14,Female,F,154,34053664,0.5
Texas,48,5-14 years,5-14,Male,M,361,35526410,1
Texas,48,15-24 years,15-24,Female,F,1300,33245249,3.9
Texas,48,15-24 years,15-24,Male,M,6172,35404964,17.4
Texas,48,25-34 years,25-34,Female,F,1802,33306520,5.4
Texas,48,25-34 years,25-34,Male,M,7210,34138863,21.1
Texas,48,35-44 years,35-44,Female,F,2216,32953325,6.7
Texas,48,35-44 years,35-44,Male,M,7384,32909191,22.4
Texas,48,45-54 years,45-54,Female,F,2650,30620196,8.7
Texas,48,45-54 years,45-54,Male,M,7610,30074006,25.3
Texas,48,55-64 years,55-64,Female,F,1637,23354187,7
Texas,48,55-64 years,55-64,Male,M,5381,21910688,24.6
Texas,48,65-74 years,65-74,Female,F,661,14928082,4.4
Texas,48,65-74 years,65-74,Male,M,3170,12935877,24.5
Texas,48,75-84 years,75-84,Female,F,360,9009694,4
Texas,48,75-84 years,75-84,Male,M,2341,6465109,36.2
Texas,48,85+ years,85+,Female,F,108,3811624,2.8
Texas,48,85+ years,85+,Male,M,991,1837590,53.9
Texas,48,Not Stated,NS,Male,M,12,Not Applicable,Not Applicable
Utah,49,5-14 years,5-14,Female,F,27,4166219,0.6
Utah,49,5-14 years,5-14,Male,M,78,4404859,1.8
Utah,49,15-24 years,15-24,Female,F,240,4303123,5.6
Utah,49,15-24 years,15-24,Male,M,1219,4406063,27.7
Utah,49,25-34 years,25-34,Female,F,342,3751578,9.1
Utah,49,25-34 years,25-34,Male,M,1378,3923457,35.1
Utah,49,35-44 years,35-44,Female,F,443,3131465,14.1
Utah,49,35-44 years,35-44,Male,M,1251,3240288,38.6
Utah,49,45-54 years,45-54,Female,F,401,2733577,14.7
Utah,49,45-54 years,45-54,Male,M,1168,2736433,42.7
Utah,49,55-64 years,55-64,Female,F,252,2118365,11.9
Utah,49,55-64 years,55-64,Male,M,758,2044160,37.1
Utah,49,65-74 years,65-74,Female,F,77,1359602,5.7
Utah,49,65-74 years,65-74,Male,M,387,1231495,31.4
Utah,49,75-84 years,75-84,Female,F,33,833462,4
Utah,49,75-84 years,75-84,Male,M,270,665691,40.6
Utah,49,85+ years,85+,Female,F,10,347719,Unreliable
Utah,49,85+ years,85+,Male,M,106,202336,52.4
Vermont,50,15-24 years,15-24,Female,F,40,824978,4.8
Vermont,50,15-24 years,15-24,Male,M,166,876451,18.9
Vermont,50,25-34 years,25-34,Female,F,40,673100,5.9
Vermont,50,25-34 years,25-34,Male,M,212,668939,31.7
Vermont,50,35-44 years,35-44,Female,F,62,815830,7.6
Vermont,50,35-44 years,35-44,Male,M,244,790110,30.9
Vermont,50,45-54 years,45-54,Female,F,95,938835,10.1
Vermont,50,45-54 years,45-54,Male,M,289,905517,31.9
Vermont,50,55-64 years,55-64,Female,F,64,779606,8.2
Vermont,50,55-64 years,55-64,Male,M,226,760927,29.7
Vermont,50,65-74 years,65-74,Female,F,27,494210,5.5
Vermont,50,65-74 years,65-74,Male,M,142,454845,31.2
Vermont,50,75-84 years,75-84,Female,F,11,315657,Unreliable
Vermont,50,75-84 years,75-84,Male,M,99,232200,42.6
Vermont,50,85+ years,85+,Male,M,46,72222,63.7
Virginia,51,5-14 years,5-14,Female,F,42,9433360,0.4
Virginia,51,5-14 years,5-14,Male,M,82,9835244,0.8
Virginia,51,15-24 years,15-24,Female,F,368,10021224,3.7
Virginia,51,15-24 years,15-24,Male,M,1808,10614839,17
Virginia,51,25-34 years,25-34,Female,F,595,10241334,5.8
Virginia,51,25-34 years,25-34,Male,M,2230,10348245,21.5
Virginia,51,35-44 years,35-44,Female,F,897,10946986,8.2
Virginia,51,35-44 years,35-44,Male,M,2467,10690025,23.1
Virginia,51,45-54 years,45-54,Female,F,979,11020000,8.9
Virginia,51,45-54 years,45-54,Male,M,2732,10537093,25.9
Virginia,51,55-64 years,55-64,Female,F,644,8684752,7.4
Virginia,51,55-64 years,55-64,Male,M,2061,8070382,25.5
Virginia,51,65-74 years,65-74,Female,F,286,5579774,5.1
Virginia,51,65-74 years,65-74,Male,M,1314,4813026,27.3
Virginia,51,75-84 years,75-84,Female,F,154,3434763,4.5
Virginia,51,75-84 years,75-84,Male,M,922,2385123,38.7
Virginia,51,85+ years,85+,Female,F,55,1508404,3.6
Virginia,51,85+ years,85+,Male,M,397,675949,58.7
Washington,53,5-14 years,5-14,Female,F,37,8046424,0.5
Washington,53,5-14 years,5-14,Male,M,88,8445794,1
Washington,53,15-24 years,15-24,Female,F,382,8273871,4.6
Washington,53,15-24 years,15-24,Male,M,1880,8847437,21.2
Washington,53,25-34 years,25-34,Female,F,550,8588166,6.4
Washington,53,25-34 years,25-34,Male,M,2188,8968471,24.4
Washington,53,35-44 years,35-44,Female,F,731,8805568,8.3
Washington,53,35-44 years,35-44,Male,M,2390,8988009,26.6
Washington,53,45-54 years,45-54,Female,F,1005,8942860,11.2
Washington,53,45-54 years,45-54,Male,M,2647,8888646,29.8
Washington,53,55-64 years,55-64,Female,F,716,7265504,9.9
Washington,53,55-64 years,55-64,Male,M,1995,6991457,28.5
Washington,53,65-74 years,65-74,Female,F,292,4513616,6.5
Washington,53,65-74 years,65-74,Male,M,1159,4111433,28.2
Washington,53,75-84 years,75-84,Female,F,165,2799511,5.9
Washington,53,75-84 years,75-84,Male,M,925,2116227,43.7
Washington,53,85+ years,85+,Female,F,76,1371974,5.5
Washington,53,85+ years,85+,Male,M,474,701786,67.5
West Virginia,54,5-14 years,5-14,Female,F,14,2001359,Unreliable
West Virginia,54,5-14 years,5-14,Male,M,29,2108935,1.4
West Virginia,54,15-24 years,15-24,Female,F,82,2214406,3.7
West Virginia,54,15-24 years,15-24,Male,M,508,2325091,21.8
West Virginia,54,25-34 years,25-34,Female,F,148,2081313,7.1
West Virginia,54,25-34 years,25-34,Male,M,677,2126256,31.8
West Virginia,54,35-44 years,35-44,Female,F,236,2318913,10.2
West Virginia,54,35-44 years,35-44,Male,M,843,2313438,36.4
West Virginia,54,45-54 years,45-54,Female,F,274,2574706,10.6
West Virginia,54,45-54 years,45-54,Male,M,866,2533612,34.2
West Virginia,54,55-64 years,55-64,Female,F,171,2311450,7.4
West Virginia,54,55-64 years,55-64,Male,M,682,2227310,30.6
West Virginia,54,65-74 years,65-74,Female,F,72,1671969,4.3
West Virginia,54,65-74 years,65-74,Male,M,474,1477954,32.1
