ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"142,930",60.0,58.0,238187095,"Start Year: 2005, End Year: 2005, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"25,116",63.9,67.3,39280731,"Start Year: 2005, End Year: 2005, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","2,346",66.0,71.1,3554356,"Start Year: 2005, End Year: 2005, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","3,361",23.2,26.6,14494417,"Start Year: 2005, End Year: 2005, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
