ethn,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
White,"199,629",78.6,73.7,253935650,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Black,"34,645",75.5,75.9,45883808,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"American Indian, Eskimo, Aleut","3,447",73.5,78.2,4689047,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
"Asian, Pacific Islander","5,318",25.1,25.5,21210673,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
