sex,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,"166,384",103.7,102.5,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,"76,655",46.4,41.7,"Start Year: 2017, End Year: 2017, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
