stateName,2001suic,2001pop,2004suic,2004pop,2005suic,2005pop,2006suic,2006pop,2007suic,2006pop,2008suic,2008pop,2009suic,2009pop,2010suic,2010pop,2011suic,2011pop,2012suic,2012pop,2013suic,2013pop,2014suic,2014pop,2017suic,2017pop
New Hampshire,44.1,2524606,46.5,1290121,50.6,1298492,48.1,1308389,51.5,1312540,51.2,1315906,49,1316102,54.4,1316460,55.6,1318345,56.4,1320923,57.6,1322622,70.5,1328684,84.3,1342795
New Jersey,44.3,17045314,38.6,8634561,40.8,8651974,41.7,8661679,39.1,8677885,38.5,8711090,30.2,8755602,39.6,8791953,41.8,8844694,44.6,8882095,45.2,8913735,44.3,8943010,60.3,9005644
New Mexico,88,3686999,94.3,1903808,93,1932274,95.2,1962137,99.1,1990070,101,2010662,93.7,2036802,91,2059207,94.4,2077744,95.2,2083590,88.5,2085161,102.2,2083207,102.9,2088070
New York,41.7,38220638,33.9,19171567,34.7,19132610,39.2,19104631,38.5,19132335,37.8,19212436,36.4,19307066,37.6,19378110,40,19526372,40.5,19625409,40.2,19712514,40.1,19773580,48,19849399
North Carolina,63.7,16536323,67.3,8553152,67.4,8705407,66.7,8917270,68.2,9118037,66.6,9309449,62.8,9449566,61.5,9535721,62,9662940,62.2,9755299,61.7,9849812,63.7,9941160,78.5,10273419
North Dakota,50.1,1277230,51.6,644705,55.6,646089,55.4,649422,56.3,652822,61.7,657569,61,664968,57.3,672585,56.9,684830,59.7,701380,61.2,722908,64.1,738658,65.6,755393
Ohio,51.2,22795293,53.4,11452251,55.5,11463320,58.7,11481213,58.8,11500468,60.9,11515391,49.1,11528896,61,11536730,62.5,11543332,64.6,11546969,64.7,11567845,69.5,11593741,99.1,11658609
Oklahoma,68.6,6956180,77.5,3525233,79.2,3548597,79.4,3594090,82.5,3634349,80.7,3668976,85.2,3717572,85.5,3751598,86.9,3785232,88.9,3815298,89.4,3849840,89,3875008,92,3930864
Oregon,57.6,6981361,59.2,3569463,59,3613202,62.2,3670883,62.2,3722417,61.1,3768748,60.6,3808600,61,3831072,62.3,3865845,62.7,3893920,61.1,3919664,64.4,3960673,68.4,4142776
Pennsylvania,52.1,24630001,57,12410722,59.1,12449990,57.9,12510809,59.5,12563937,60.9,12612285,58.1,12666858,59.8,12702857,64.3,12742811,64,12768034,64.5,12778450,66.1,12790341,93.3,12805537
